home_team,away_team,home_odds,draw_odds,away_odds,date,rating_diff
Arsenal,Chelsea,1.63,4.5,6.0,2023-05-02,241.20096486658613
Liverpool,Fulham,1.34,6.4,10.5,2023-05-03,383.2237129859724
Man City,West Ham,1.19,8.8,22.0,2023-05-03,504.983378029776
Brighton,Man Utd,2.28,3.95,3.2,2023-05-04,65.98598976725629
Man City,Leeds,1.19,8.4,21.0,2023-05-06,500.9771742285039
Bournemouth,Chelsea,3.75,3.65,2.18,2023-05-06,-97.42962147021244
Wolves,Aston Villa,3.35,3.5,2.36,2023-05-06,-62.8758765013072
Liverpool,Brentford,1.43,5.8,7.6,2023-05-06,327.4411711090501
Tottenham,Crystal Palace,1.82,4.1,4.7,2023-05-06,177.50380919039355
Newcastle,Arsenal,2.32,3.95,3.1,2023-05-07,56.83412414149442
West Ham,Man Utd,3.85,4.0,2.02,2023-05-07,-123.37588755867034
Fulham,Leicester,2.84,3.55,2.78,2023-05-08,-3.815514548564084
Brighton,Everton,1.37,6.4,8.6,2023-05-08,361.9976489494034
Nottm Forest,Southampton,2.06,3.65,4.1,2023-05-08,122.60011588102888
Aston Villa,Tottenham,2.26,3.9,3.3,2023-05-13,72.56188999461223
Chelsea,Nottm Forest,1.63,4.3,6.4,2023-05-13,243.3309016503253
Crystal Palace,Bournemouth,1.83,3.95,5.0,2023-05-13,179.84894522295806
Leeds,Newcastle,5.5,4.6,1.67,2023-05-13,-226.3598299495126
Man Utd,Wolves,1.37,5.6,10.5,2023-05-13,362.71782401363765
Southampton,Fulham,2.82,3.7,2.66,2023-05-13,-10.904737174493766
Arsenal,Brighton,1.74,4.7,4.8,2023-05-14,200.33413911938473
Brentford,West Ham,1.86,3.8,5.1,2023-05-14,174.82919113434463
Everton,Man City,9.6,5.5,1.39,2023-05-14,-350.28542534500156
Leicester,Liverpool,5.1,4.4,1.74,2023-05-15,-203.0927406413452
Newcastle,Brighton,1.77,4.5,4.8,2023-05-18,192.54484009380158
Tottenham,Brentford,2.0,4.1,3.8,2023-05-20,125.32430570609048
Liverpool,Aston Villa,1.5,5.2,6.8,2023-05-20,292.0756120545394
